filename,label_folder,beam_start_utc,beam_end_utc,beam_start_wib,beam_end_wib,match_rule,n_candidates,bpptkg_eventdt_wib,bpptkg_eventtype,bpptkg_duration_s,bpptkg_amplitude,bpptkg_ml_pasarbubar,offset_from_beam_start_s,label_agrees_bpptkg
20230821_052800-053000_Gempa_Bumi_BEAM.mseed,Gempa_Bumi,2023-08-21 05:28:00,2023-08-21 05:30:00,2023-08-21 12:28:00,2023-08-21 12:30:00,nearest_start_within_180s,1,2023-08-21 12:25:01,ROCKFALL,115.84,7mm,1.28304,-179.0,False
20230825_191800-192000_Gempa_Bumi_BEAM.mseed,Gempa_Bumi,2023-08-25 19:18:00,2023-08-25 19:20:00,2023-08-26 02:18:00,2023-08-26 02:20:00,inside_window_buffer,1,2023-08-26 02:18:02,ROCKFALL,116.36,12mm,1.39164,2.0,False
20230829_200650-200930_Gempa_Bumi_BEAM.mseed,Gempa_Bumi,2023-08-29 20:06:50,2023-08-29 20:09:30,2023-08-30 03:06:50,2023-08-30 03:09:30,inside_window_buffer,2,2023-08-30 03:06:42,ROCKFALL,70.72,10mm,1.47703,-8.0,False
20230830_021820-022020_Gempa_Bumi_BEAM.mseed,Gempa_Bumi,2023-08-30 02:18:20,2023-08-30 02:20:20,2023-08-30 09:18:20,2023-08-30 09:20:20,no_match,0,,,,,,,False
20230905_183340-183540_Gempa_Bumi_BEAM.mseed,Gempa_Bumi,2023-09-05 18:33:40,2023-09-05 18:35:40,2023-09-06 01:33:40,2023-09-06 01:35:40,inside_window_buffer,2,2023-09-06 01:33:34,MP,5.0,3mm,0.813521,-6.0,False
20230906_075150-075350_Gempa_Bumi_BEAM.mseed,Gempa_Bumi,2023-09-06 07:51:50,2023-09-06 07:53:50,2023-09-06 14:51:50,2023-09-06 14:53:50,inside_window_buffer,1,2023-09-06 14:52:39,VTB,19.76,STRONG,2.82923,49.0,False
20230816_115040-115240_Multiphase_BEAM.mseed,Multiphase,2023-08-16 11:50:40,2023-08-16 11:52:40,2023-08-16 18:50:40,2023-08-16 18:52:40,inside_window_buffer,2,2023-08-16 18:50:49,VTB,9.64,70mm,2.49057,9.0,False
20230818_210900-211100_Multiphase_BEAM.mseed,Multiphase,2023-08-18 21:09:00,2023-08-18 21:11:00,2023-08-19 04:09:00,2023-08-19 04:11:00,inside_window_buffer,1,2023-08-19 04:09:28,VTB,10.76,55mm,2.1483,28.0,False
20230821_150400-150600_Multiphase_BEAM.mseed,Multiphase,2023-08-21 15:04:00,2023-08-21 15:06:00,2023-08-21 22:04:00,2023-08-21 22:06:00,inside_window_buffer,1,2023-08-21 22:04:33,VTB,11.0,44mm,2.10578,33.0,False
20230823_040805-041005_Multiphase_BEAM.mseed,Multiphase,2023-08-23 04:08:05,2023-08-23 04:10:05,2023-08-23 11:08:05,2023-08-23 11:10:05,inside_window_buffer,2,2023-08-23 11:08:45,VTB,11.84,70mm,2.5221,40.0,False
20230824_050900-051100_Multiphase_BEAM.mseed,Multiphase,2023-08-24 05:09:00,2023-08-24 05:11:00,2023-08-24 12:09:00,2023-08-24 12:11:00,inside_window_buffer,1,2023-08-24 12:09:09,VTB,11.2,45mm,2.49863,9.0,False
20230826_214020-214220_Multiphase_BEAM.mseed,Multiphase,2023-08-26 21:40:20,2023-08-26 21:42:20,2023-08-27 04:40:20,2023-08-27 04:42:20,inside_window_buffer,1,2023-08-27 04:40:41,VTB,10.16,69mm,2.3189,21.0,False
20230826_221130-221330_Multiphase_BEAM.mseed,Multiphase,2023-08-26 22:11:30,2023-08-26 22:13:30,2023-08-27 05:11:30,2023-08-27 05:13:30,inside_window_buffer,3,2023-08-27 05:11:43,VTB,7.48,STRONG,3.12407,13.0,False
20230826_221940-222140_Multiphase_BEAM.mseed,Multiphase,2023-08-26 22:19:40,2023-08-26 22:21:40,2023-08-27 05:19:40,2023-08-27 05:21:40,inside_window_buffer,2,2023-08-27 05:19:34,VTB,10.96,41mm,2.01987,-6.0,False
20230902_080800-081000_Multiphase_BEAM.mseed,Multiphase,2023-09-02 08:08:00,2023-09-02 08:10:00,2023-09-02 15:08:00,2023-09-02 15:10:00,inside_window_buffer,6,2023-09-02 15:08:48,VTB,11.64,70mm,2.45586,48.0,False
20230902_181615-181815_Multiphase_BEAM.mseed,Multiphase,2023-09-02 18:16:15,2023-09-02 18:18:15,2023-09-03 01:16:15,2023-09-03 01:18:15,inside_window_buffer,2,2023-09-03 01:17:02,VTB,10.2,STRONG,2.53704,47.0,False
20230902_181800-182000_Multiphase_BEAM.mseed,Multiphase,2023-09-02 18:18:00,2023-09-02 18:20:00,2023-09-03 01:18:00,2023-09-03 01:20:00,inside_window_buffer,2,2023-09-03 01:18:00,VTB,12.56,STRONG,2.96851,0.0,False
20230902_183500-183700_Multiphase_BEAM.mseed,Multiphase,2023-09-02 18:35:00,2023-09-02 18:37:00,2023-09-03 01:35:00,2023-09-03 01:37:00,inside_window_buffer,5,2023-09-03 01:35:30,VTB,13.84,STRONG,2.8608,30.0,False
20230902_183700-183900_Multiphase_BEAM.mseed,Multiphase,2023-09-02 18:37:00,2023-09-02 18:39:00,2023-09-03 01:37:00,2023-09-03 01:39:00,inside_window_buffer,2,2023-09-03 01:37:17,VTB,12.12,STRONG,2.75724,17.0,False
20230903_012340-012540_Multiphase_BEAM.mseed,Multiphase,2023-09-03 01:23:40,2023-09-03 01:25:40,2023-09-03 08:23:40,2023-09-03 08:25:40,inside_window_buffer,2,2023-09-03 08:23:50,VTB,9.8,30mm,2.1262,10.0,False
20230903_045040-045240_Multiphase_BEAM.mseed,Multiphase,2023-09-03 04:50:40,2023-09-03 04:52:40,2023-09-03 11:50:40,2023-09-03 11:52:40,inside_window_buffer,1,2023-09-03 11:50:59,VTB,8.8,30mm,2.0266,19.0,False
20230903_045530-045730_Multiphase_BEAM.mseed,Multiphase,2023-09-03 04:55:30,2023-09-03 04:57:30,2023-09-03 11:55:30,2023-09-03 11:57:30,inside_window_buffer,2,2023-09-03 11:55:41,VTB,15.6,STRONG,3.63608,11.0,False
20230904_164100-164300_Multiphase_BEAM.mseed,Multiphase,2023-09-04 16:41:00,2023-09-04 16:43:00,2023-09-04 23:41:00,2023-09-04 23:43:00,inside_window_buffer,1,2023-09-04 23:41:07,VTB,10.6,65mm,2.36816,7.0,False
20230905_053700-053900_Multiphase_BEAM.mseed,Multiphase,2023-09-05 05:37:00,2023-09-05 05:39:00,2023-09-05 12:37:00,2023-09-05 12:39:00,inside_window_buffer,2,2023-09-05 12:37:16,VTB,24.72,STRONG,3.32475,16.0,False
20230905_175920-180120_Multiphase_BEAM.mseed,Multiphase,2023-09-05 17:59:20,2023-09-05 18:01:20,2023-09-06 00:59:20,2023-09-06 01:01:20,inside_window_buffer,1,2023-09-06 00:59:36,VTB,15.16,70mm,2.61083,16.0,False
20230906_014600-014800_Multiphase_BEAM.mseed,Multiphase,2023-09-06 01:46:00,2023-09-06 01:48:00,2023-09-06 08:46:00,2023-09-06 08:48:00,inside_window_buffer,2,2023-09-06 08:46:29,VTB,16.2,STRONG,2.61699,29.0,False
20230906_014720-014920_Multiphase_BEAM.mseed,Multiphase,2023-09-06 01:47:20,2023-09-06 01:49:20,2023-09-06 08:47:20,2023-09-06 08:49:20,inside_window_buffer,4,2023-09-06 08:47:52,VTB,17.2,65mm,2.86379,32.0,False
20230906_083140-083340_Multiphase_BEAM.mseed,Multiphase,2023-09-06 08:31:40,2023-09-06 08:33:40,2023-09-06 15:31:40,2023-09-06 15:33:40,inside_window_buffer,3,2023-09-06 15:31:56,VTB,15.16,60mm,2.84753,16.0,False
20230906_163720-163920_Multiphase_BEAM.mseed,Multiphase,2023-09-06 16:37:20,2023-09-06 16:39:20,2023-09-06 23:37:20,2023-09-06 23:39:20,inside_window_buffer,1,2023-09-06 23:37:42,VTB,11.96,STRONG,2.83482,22.0,False
20230906_192310-192510_Multiphase_BEAM.mseed,Multiphase,2023-09-06 19:23:10,2023-09-06 19:25:10,2023-09-07 02:23:10,2023-09-07 02:25:10,inside_window_buffer,1,2023-09-07 02:23:22,VTB,14.2,67mm,2.49048,12.0,False
20230907_132500-132700_Multiphase_BEAM.mseed,Multiphase,2023-09-07 13:25:00,2023-09-07 13:27:00,2023-09-07 20:25:00,2023-09-07 20:27:00,inside_window_buffer,3,2023-09-07 20:25:13,VTB,12.44,65mm,2.32688,13.0,False
20230907_160115-160315_Multiphase_BEAM.mseed,Multiphase,2023-09-07 16:01:15,2023-09-07 16:03:15,2023-09-07 23:01:15,2023-09-07 23:03:15,inside_window_buffer,4,2023-09-07 23:02:03,VTB,21.12,STRONG,3.46215,48.0,False
20230907_171240-171440_Multiphase_BEAM.mseed,Multiphase,2023-09-07 17:12:40,2023-09-07 17:14:40,2023-09-08 00:12:40,2023-09-08 00:14:40,inside_window_buffer,1,2023-09-08 00:12:50,VTB,11.36,64mm,2.32461,10.0,False
20230907_173750-173950_Multiphase_BEAM.mseed,Multiphase,2023-09-07 17:37:50,2023-09-07 17:39:50,2023-09-08 00:37:50,2023-09-08 00:39:50,inside_window_buffer,1,2023-09-08 00:38:04,VTB,12.72,70mm,2.56739,14.0,False
20230909_012240-012440_Multiphase_BEAM.mseed,Multiphase,2023-09-09 01:22:40,2023-09-09 01:24:40,2023-09-09 08:22:40,2023-09-09 08:24:40,inside_window_buffer,2,2023-09-09 08:22:23,ROCKFALL,146.4,23mm,2.79236,-17.0,False
20230910_123640-123840_Multiphase_BEAM.mseed,Multiphase,2023-09-10 12:36:40,2023-09-10 12:38:40,2023-09-10 19:36:40,2023-09-10 19:38:40,inside_window_buffer,2,2023-09-10 19:36:44,VTB,21.12,STRONG,3.34662,4.0,False
20230910_130600-130800_Multiphase_BEAM.mseed,Multiphase,2023-09-10 13:06:00,2023-09-10 13:08:00,2023-09-10 20:06:00,2023-09-10 20:08:00,inside_window_buffer,1,2023-09-10 20:06:19,VTB,9.32,59mm,2.15718,19.0,False
20230911_140250-140450_Multiphase_BEAM.mseed,Multiphase,2023-09-11 14:02:50,2023-09-11 14:04:50,2023-09-11 21:02:50,2023-09-11 21:04:50,inside_window_buffer,2,2023-09-11 21:03:05,VTB,13.32,STRONG,2.68466,15.0,False
20230911_144600-144800_Multiphase_BEAM.mseed,Multiphase,2023-09-11 14:46:00,2023-09-11 14:48:00,2023-09-11 21:46:00,2023-09-11 21:48:00,inside_window_buffer,1,2023-09-11 21:46:12,VTB,18.24,68mm,2.60007,12.0,False
20230912_095140-095340_Multiphase_BEAM.mseed,Multiphase,2023-09-12 09:51:40,2023-09-12 09:53:40,2023-09-12 16:51:40,2023-09-12 16:53:40,inside_window_buffer,2,2023-09-12 16:52:07,VTB,18.72,STRONG,3.10281,27.0,False
20230830_060000-060200_Rockfall_BEAM.mseed,Rockfall,2023-08-30 06:00:00,2023-08-30 06:02:00,2023-08-30 13:00:00,2023-08-30 13:02:00,nearest_start_within_180s,3,2023-08-30 12:59:18,MP,6.0,3mm,0.724778,-42.0,False
20230902_072250-072450_Rockfall_BEAM.mseed,Rockfall,2023-09-02 07:22:50,2023-09-02 07:24:50,2023-09-02 14:22:50,2023-09-02 14:24:50,inside_window_buffer,1,2023-09-02 14:24:56,MP,7.8,3mm,0.988038,126.0,False
20230903_132430-132630_Rockfall_BEAM.mseed,Rockfall,2023-09-03 13:24:30,2023-09-03 13:26:30,2023-09-03 20:24:30,2023-09-03 20:26:30,inside_window_buffer,1,2023-09-03 20:24:54,VTB,8.92,55mm,2.06082,24.0,False
20230904_115800-120000_Rockfall_BEAM.mseed,Rockfall,2023-09-04 11:58:00,2023-09-04 12:00:00,2023-09-04 18:58:00,2023-09-04 19:00:00,inside_window_buffer,2,2023-09-04 18:58:08,VTB,9.72,65mm,2.27628,8.0,False
20230905_114100-114300_Rockfall_BEAM.mseed,Rockfall,2023-09-05 11:41:00,2023-09-05 11:43:00,2023-09-05 18:41:00,2023-09-05 18:43:00,inside_window_buffer,2,2023-09-05 18:41:05,LF,9.76,9mm,1.56286,5.0,False
20230905_125720-125920_Rockfall_BEAM.mseed,Rockfall,2023-09-05 12:57:20,2023-09-05 12:59:20,2023-09-05 19:57:20,2023-09-05 19:59:20,inside_window_buffer,1,2023-09-05 19:57:39,VTB,10.16,58mm,2.42247,19.0,False
20230905_152740-152940_Rockfall_BEAM.mseed,Rockfall,2023-09-05 15:27:40,2023-09-05 15:29:40,2023-09-05 22:27:40,2023-09-05 22:29:40,inside_window_buffer,1,2023-09-05 22:27:50,VTB,13.04,67mm,2.47257,10.0,False
20230906_183630-183830_Rockfall_BEAM.mseed,Rockfall,2023-09-06 18:36:30,2023-09-06 18:38:30,2023-09-07 01:36:30,2023-09-07 01:38:30,inside_window_buffer,1,2023-09-07 01:36:53,VTB,9.32,47mm,2.14405,23.0,False
20230907_190710-190910_Rockfall_BEAM.mseed,Rockfall,2023-09-07 19:07:10,2023-09-07 19:09:10,2023-09-08 02:07:10,2023-09-08 02:09:10,inside_window_buffer,2,2023-09-08 02:07:20,VTB,9.88,55mm,2.1316,10.0,False
20230907_203630-203830_Rockfall_BEAM.mseed,Rockfall,2023-09-07 20:36:30,2023-09-07 20:38:30,2023-09-08 03:36:30,2023-09-08 03:38:30,inside_window_buffer,1,2023-09-08 03:36:50,VTB,9.28,53mm,2.21453,20.0,False
20230821_121700-121900_VTB_BEAM.mseed,VTB,2023-08-21 12:17:00,2023-08-21 12:19:00,2023-08-21 19:17:00,2023-08-21 19:19:00,inside_window_buffer,3,2023-08-21 19:17:07,MP,7.04,14mm,1.61784,7.0,False
20230821_231940-232300_VTB_BEAM.mseed,VTB,2023-08-21 23:19:40,2023-08-21 23:23:00,2023-08-22 06:19:40,2023-08-22 06:23:00,inside_window_buffer,3,2023-08-22 06:19:44,MP,6.2,4mm,1.07264,4.0,False
20230822_155930-160130_VTB_BEAM.mseed,VTB,2023-08-22 15:59:30,2023-08-22 16:01:30,2023-08-22 22:59:30,2023-08-22 23:01:30,inside_window_buffer,3,2023-08-22 22:59:26,ROCKFALL,65.64,17mm,2.71937,-4.0,False
20230822_204920-205120_VTB_BEAM.mseed,VTB,2023-08-22 20:49:20,2023-08-22 20:51:20,2023-08-23 03:49:20,2023-08-23 03:51:20,inside_window_buffer,8,2023-08-23 03:49:12,MP,6.16,3mm,0.963427,-8.0,False
20230823_170450-170650_VTB_BEAM.mseed,VTB,2023-08-23 17:04:50,2023-08-23 17:06:50,2023-08-24 00:04:50,2023-08-24 00:06:50,inside_window_buffer,3,2023-08-24 00:04:46,MP,6.84,14mm,1.72797,-4.0,False
20230828_000318-000518_VTB_BEAM.mseed,VTB,2023-08-28 00:03:18,2023-08-28 00:05:18,2023-08-28 07:03:18,2023-08-28 07:05:18,inside_window_buffer,1,2023-08-28 07:03:13,ROCKFALL,50.4,4mm,0.85836,-5.0,False
20230831_041020-041220_VTB_BEAM.mseed,VTB,2023-08-31 04:10:20,2023-08-31 04:12:20,2023-08-31 11:10:20,2023-08-31 11:12:20,inside_window_buffer,7,2023-08-31 11:10:20,MP,5.28,7mm,1.15077,0.0,False
20230831_041620-041820_VTB_BEAM.mseed,VTB,2023-08-31 04:16:20,2023-08-31 04:18:20,2023-08-31 11:16:20,2023-08-31 11:18:20,inside_window_buffer,4,2023-08-31 11:16:23,MP,6.0,3mm,0.620636,3.0,False
