repeat,accuracy,balanced_accuracy,macro_f1,weighted_f1
1,0.5128205128205128,0.5228354978354978,0.5056618819776715,0.49854005643479327
2,0.48717948717948717,0.4851370851370852,0.45089285714285715,0.4652014652014652
3,0.6153846153846154,0.5989538239538239,0.6145833333333333,0.610042735042735
4,0.5384615384615384,0.491017316017316,0.49305555555555547,0.5391737891737892
5,0.46153846153846156,0.5091630591630592,0.4724607234198027,0.45944933157209367
6,0.6410256410256411,0.5898989898989899,0.5784749034749035,0.587040887040887
7,0.5897435897435898,0.6083694083694084,0.6020164046479836,0.5866239024133761
8,0.5384615384615384,0.491017316017316,0.5046401039048098,0.5479313575090348
9,0.46153846153846156,0.5042929292929292,0.4820265081134647,0.4701013508148402
10,0.5384615384615384,0.5825757575757575,0.5664705882352942,0.5434087481146305
11,0.48717948717948717,0.4257215007215007,0.44535194535194533,0.47267216497985726
12,0.6923076923076923,0.6723665223665224,0.6760045274476514,0.6818742472392726
13,0.5128205128205128,0.5028138528138528,0.5368999606531576,0.5119289032824347
14,0.5384615384615384,0.5406926406926407,0.5457516339869282,0.522205463381934
15,0.5641025641025641,0.5684704184704185,0.5351539589442815,0.5335777126099707
16,0.5128205128205128,0.43127705627705626,0.4125608137992039,0.47760577915376684
17,0.6153846153846154,0.5942640692640693,0.5798423423423423,0.5774659274659275
18,0.5641025641025641,0.5634199134199134,0.5442583732057416,0.5490123911176542
19,0.6666666666666666,0.6447691197691199,0.6216020499108734,0.6427453265688559
20,0.4358974358974359,0.3921356421356421,0.35901534526854223,0.4016328939602597
21,0.5641025641025641,0.5735209235209235,0.5280666383701188,0.525287318793261
22,0.5641025641025641,0.5435786435786436,0.5261405261405261,0.5520462443539367
23,0.6666666666666666,0.6270562770562771,0.6405510480054091,0.6626012031691545
24,0.5897435897435898,0.5861471861471862,0.590527950310559,0.6032329988851728
25,0.6410256410256411,0.6142496392496393,0.6235410830999066,0.6423244511479805
26,0.5384615384615384,0.5603535353535354,0.55,0.5307692307692308
27,0.5128205128205128,0.5228354978354978,0.5273528649209229,0.5077547981359234
28,0.5641025641025641,0.5955627705627705,0.5782753254102999,0.5560525590236965
29,0.5641025641025641,0.5782106782106782,0.5660222130810366,0.5726882468963916
30,0.48717948717948717,0.51002886002886,0.48043345543345545,0.4835446604677375
31,0.6410256410256411,0.6366522366522367,0.623015873015873,0.6410256410256411
32,0.6153846153846154,0.581962481962482,0.5553030303030303,0.5682206682206682
33,0.5384615384615384,0.5255411255411255,0.5188688123470732,0.5307784003436177
34,0.41025641025641024,0.42900432900432894,0.41766381766381766,0.4204543794287384
35,0.5128205128205128,0.47572150072150066,0.46267576509511993,0.503605437848614
36,0.6410256410256411,0.6368326118326118,0.6227678571428571,0.6138583638583638
37,0.46153846153846156,0.46958874458874456,0.4679549114331723,0.4656674511746975
38,0.5641025641025641,0.5830808080808081,0.5902083717499539,0.568471420398398
39,0.48717948717948717,0.49992784992784994,0.4997412008281573,0.49665551839464883
40,0.5641025641025641,0.5955627705627705,0.5730295566502464,0.5653025135783757
41,0.46153846153846156,0.4672799422799423,0.46558441558441555,0.45401265401265395
42,0.5641025641025641,0.5634199134199134,0.5527376910016978,0.557844673719037
43,0.38461538461538464,0.3395021645021645,0.3522125723738627,0.3875951729549744
44,0.4358974358974359,0.44942279942279945,0.4378342245989305,0.42060880296174413
45,0.5641025641025641,0.5632395382395382,0.5577731092436975,0.5646510352392705
46,0.5897435897435898,0.5417027417027417,0.541100661790317,0.5837508596129286
47,0.5641025641025641,0.6054834054834055,0.6099146110056926,0.5625018245511604
48,0.48717948717948717,0.4950577200577201,0.46730691671708,0.4710497877467024
49,0.4358974358974359,0.4047979797979798,0.41991228070175435,0.433936122357175
50,0.5128205128205128,0.5549783549783549,0.5205128205128206,0.5012491781722551
